display_label,x_mean,x_half,y_mean,y_half,z_mean,z_half
Same-stage FixedTerm,0.8279336431049263,0.32434572867967143,0.7477039553850787,0.47900866904135214,0.7528950816256343,0.4109173394008952
Prev-stage FixedTerm,0.8055207179163683,0.067927209341254,0.6835360872012619,0.17849585445693966,0.7544447865669479,0.297274903484191
15-24 FixedTerm,0.7651659279422552,0.11681906035040861,0.6602189234824991,0.1324081721202342,0.7119903881174361,0.28480572711777863
Union FixedTerm,0.7807797837621647,0.191088456204461,0.7189960951664844,0.38924349826834675,0.7189398161911066,0.2648743855784546
Full ridge,0.6529684691227953,0.05682614811508292,0.6214890980118437,0.181591555321642,0.5559964544219347,-0.02290666210369476
RF quick,0.7665488762595822,0.3229079016579652,0.6769331799564543,0.3899834204846589,0.7323931634965166,0.3267623132221422
Mother copy,0.7130196993921103,-0.023798152171134693,-1.424255779732264,-0.04326034870742242,0.27615702822760396,-0.04181944866014161
Full linear,-30.7019044344588,-140.5988865661861,-28.827388281449227,-173.37784540443528,-25.096491680908766,-130.6627351552667
