raw_stage,agg_stage,target,target_index,K,K_rule,R2,MSE,WAIC,features,coefs,equation_latex
8_to_12,8_to_12,z_mean,5,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9814152954399394,0.4737269766920944,1839.1365677186789,mother_z_adj_xj_minus_xi;mother_2d_couple_yz_xj_minus_xi_pow2;mother_x_adj_xj_minus_xi;mother_x_adj_xj_pow3;mother_z_z_z;mother_2d_couple_xz_xi2_xj;mother_z;mother_x_adj_xj_pow2,0.163273062211;0.01932815759;-0.112589781808;-0.000772061546857;-0.00515877072578;-0.00220176663574;1.27005542033;0.00901643449697,"\widehat{z_{\mathrm{mean}}} &= 0.16\,\langle z_j-m_z\rangle_N + 0.02\,(m_z-m_y)^2 - 0.11\,\langle x_j-m_x\rangle_N\\&\quad - 7.72\times 10^{-4}\,\langle x_j^3\rangle_N - 5.16\times 10^{-3}\,m_z^3 - 2.20\times 10^{-3}\,m_x^2m_z\\&\quad + 1.27\,m_z + 9.02\times 10^{-3}\,\langle x_j^2\rangle_N"
8_to_12,8_to_12,z_half,6,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.8334991287610357,0.4769929556687809,1845.1277009088096,mother_z_adj_xj_pow2;mother_2d_couple_xz_xi_xj;mother_x_x;mother_2d_couple_yz_xi_xj;mother_2d_couple_xy_xj_minus_xi_pow2;mother_z_adj_xj_minus_xi_pow2;mother_z_adj_xi2_xj;mother_2d_couple_xz_xi2_xj,0.0554651431733;0.020231595638;0.00724502625589;0.0157156987806;-0.00309141984472;0.00984995961102;0.0106904744887;0.000951062266805,"\widehat{z_{\mathrm{half}}} &= 0.06\,\langle z_j^2\rangle_N + 0.02\,m_xm_z + 7.25\times 10^{-3}\,m_x^2\\&\quad + 0.02\,m_ym_z - 3.09\times 10^{-3}\,(m_y-m_x)^2 + 9.85\times 10^{-3}\,\langle (z_j-m_z)^2\rangle_N\\&\quad + 0.01\,\langle m_z^2z_j\rangle_N + 9.51\times 10^{-4}\,m_x^2m_z"
12_to_14,12_to_15,x_mean,1,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9917552084580608,0.4626926711945038,917.292591983204,mother_x_adj_xj_pow3;mother_x;mother_x_x_x;mother_2d_couple_xy_xj_minus_xi_pow2;mother_3d_couple_prod_xyz;mother_y_adj_xj_pow3;mother_z_adj_xj_pow2;mother_2d_couple_xy_xi_xj2,0.00037090944962;1.43693929567;-0.008915248195;0.0275604911186;-0.00483064095132;-0.00556939788192;-0.0186417636033;0.007554538907,"\widehat{x_{\mathrm{mean}}} &= 3.71\times 10^{-4}\,\langle x_j^3\rangle_N + 1.44\,m_x - 8.92\times 10^{-3}\,m_x^3\\&\quad + 0.03\,(m_y-m_x)^2 - 4.83\times 10^{-3}\,m_xm_ym_z - 5.57\times 10^{-3}\,\langle y_j^3\rangle_N\\&\quad - 0.02\,\langle z_j^2\rangle_N + 7.55\times 10^{-3}\,m_xm_y^2"
12_to_14,12_to_15,x_half,2,4,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.2399088011012162,0.3577644733737271,797.1585445079651,mother_x_adj_xj_pow2;mother_y_adj_xj_minus_xi_pow2;mother_3d_couple_prod_sq_xyz2;mother_y_adj_xj_pow3,0.0272936004112;0.0312019603613;-1.78921521272e-07;0.00285609432888,"\widehat{x_{\mathrm{half}}} &= 0.03\,\langle x_j^2\rangle_N + 0.03\,\langle (y_j-m_y)^2\rangle_N - 1.79\times 10^{-7}\,(m_xm_ym_z^2)^2\\&\quad + 2.86\times 10^{-3}\,\langle y_j^3\rangle_N"
12_to_14,12_to_15,y_mean,3,4,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.8969589446037389,0.2908690645831541,706.9058215062961,mother_y_adj_xi_xj2;mother_2d_couple_xy_xi_xj;mother_z_adj_xj_pow2;mother_x_adj_xj_pow3,0.0113382957154;-0.0110558849817;0.0475858202968;-0.000415696139379,"\widehat{y_{\mathrm{mean}}} &= 0.01\,\langle m_yy_j^2\rangle_N - 0.01\,m_xm_y + 0.05\,\langle z_j^2\rangle_N\\&\quad - 4.16\times 10^{-4}\,\langle x_j^3\rangle_N"
12_to_14,12_to_15,y_half,4,5,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.1439885559777494,0.1786386990327554,496.3523809682712,mother_x_adj_xj_pow2;mother_x;mother_y_adj_xj_pow3;mother_z_adj_xi_xj_pow3;mother_y_adj_xj,0.00708651867342;0.0355351405917;0.00648224399438;-2.66650987454e-06;-0.281988863626,"\widehat{y_{\mathrm{half}}} &= 7.09\times 10^{-3}\,\langle x_j^2\rangle_N + 0.04\,m_x + 6.48\times 10^{-3}\,\langle y_j^3\rangle_N\\&\quad - 2.67\times 10^{-6}\,\langle (m_zz_j)^3\rangle_N - 0.28\,\langle y_j\rangle_N"
12_to_14,12_to_15,z_mean,5,7,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.9194157932364144,0.4102738424695768,862.8687318294512,mother_z;mother_x_adj_xi_xj;mother_z_z;mother_2d_couple_xz_xi_xj;mother_2d_couple_xz_xi_xj_pow3;mother_y_adj_xj_pow2;mother_y_adj_xi2_xj,0.957010608277;-0.0367613136308;0.0427444965507;0.0280187654383;-3.05657587089e-06;-0.0636580513818;-0.0455893183678,"\widehat{z_{\mathrm{mean}}} &= 0.96\,m_z - 0.04\,\langle m_xx_j\rangle_N + 0.04\,m_z^2\\&\quad + 0.03\,m_xm_z - 3.06\times 10^{-6}\,(m_xm_z)^3 - 0.06\,\langle y_j^2\rangle_N\\&\quad - 0.05\,\langle m_y^2y_j\rangle_N"
12_to_14,12_to_15,z_half,6,8,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.0853776268311741,0.2550388779199559,657.59047356049,mother_x_adj_xj_pow2;mother_2d_couple_xz_xi_xj;mother_z_adj_xj_pow2;mother_y_adj_xj_pow3;mother_z_adj_xj_pow3;mother_2d_couple_yz_xi_xj_pow2;mother_y_y;mother_z_adj_xj,0.00864368569683;-0.00468506472152;0.00521684506748;0.00233989795112;0.00267624008977;-0.000816252356618;0.0342555948467;-0.218205166487,"\widehat{z_{\mathrm{half}}} &= 8.64\times 10^{-3}\,\langle x_j^2\rangle_N - 4.69\times 10^{-3}\,m_xm_z + 5.22\times 10^{-3}\,\langle z_j^2\rangle_N\\&\quad + 2.34\times 10^{-3}\,\langle y_j^3\rangle_N + 2.68\times 10^{-3}\,\langle z_j^3\rangle_N - 8.16\times 10^{-4}\,(m_ym_z)^2\\&\quad + 0.03\,m_y^2 - 0.22\,\langle z_j\rangle_N"
14_to_15,12_to_15,x_mean,1,5,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.3425106659453891,0.3105995307358684,320.3644708395818,mother_x_adj_xj_minus_xi_pow2;mother_x_adj_xj;mother_y_adj_xj_pow2;mother_x;mother_x_adj_xj_pow2,-0.0897103751235;-1.37725112278;0.0512308322435;1.23953711354;0.117496684798,"\widehat{x_{\mathrm{mean}}} &= - 0.09\,\langle (x_j-m_x)^2\rangle_N - 1.38\,\langle x_j\rangle_N + 0.05\,\langle y_j^2\rangle_N\\&\quad + 1.24\,m_x + 0.12\,\langle x_j^2\rangle_N"
14_to_15,12_to_15,x_half,2,7,composite: minimize normalized R2 loss + normalized WAIC loss + 0.02*K within K<=8,0.1235913166787846,0.2970818962264186,316.0881117546237,mother_z_adj_xj_pow2;mother_y;mother_x_adj_xj_pow2;mother_z_adj_xj;mother_z;mother_z_adj_xi_xj_pow3;mother_z_adj_xj_pow3,0.0461943383495;-0.20926192137;0.00915816050156;0.55273857858;0.364535113999;-6.66054874842e-05;0.00255533091636,"\widehat{x_{\mathrm{half}}} &= 0.05\,\langle z_j^2\rangle_N - 0.21\,m_y + 9.16\times 10^{-3}\,\langle x_j^2\rangle_N\\&\quad + 0.55\,\langle z_j\rangle_N + 0.36\,m_z - 6.66\times 10^{-5}\,\langle (m_zz_j)^3\rangle_N\\&\quad + 2.56\times 10^{-3}\,\langle z_j^3\rangle_N"
