feature_added,R2,MSE,WAIC,R2_gain,WAIC_gain,MSE_drop,prev_R2,prev_WAIC,prev_MSE,composite_score,k,raw_stage,target,target_index
mother_x,0.9795559566482152,2.235813893259877,3236.5243589842594,0.9808449412591724,3453.5204624674243,107.26776054353648,-0.0012889846109571,6690.044821451684,109.50357443679634,0.9999999999994902,1,4_6_7_8,x_mean,1
mother_x_adj_xj_pow2,0.9935551752637192,0.7048228394479203,2213.404621182338,0.013999218615504,1023.1197378019216,1.5309910538119569,0.9795559566482152,3236.5243589842594,2.235813893259877,0.9999999999642832,2,4_6_7_8,x_mean,1
mother_x_adj_xj_pow3,0.9957026477873968,0.4699696442548632,1855.517425298105,0.0021474725236775,357.8871958842328,0.2348531951930571,0.9935551752637192,2213.404621182338,0.7048228394479203,0.9999999997671668,3,4_6_7_8,x_mean,1
mother_x_adj_xi_xj2,0.99686060081288,0.3433328817725797,1578.7141711037004,0.0011579530254831,276.80325419440464,0.1266367624822835,0.9957026477873968,1855.517425298105,0.4699696442548632,0.9999999995682016,4,4_6_7_8,x_mean,1
mother_x_adj_xj,0.9971358937942086,0.3132261234478943,1499.2178747628604,0.0002752929813286,79.49629634083999,0.0301067583246854,0.99686060081288,1578.7141711037004,0.3433328817725797,0.9999999981837469,5,4_6_7_8,x_mean,1
mother_x_x,0.9981937516322678,0.1975360316823564,1091.846001095479,0.0010578578380591,407.37187366738135,0.1156900917655378,0.9971358937942086,1499.2178747628604,0.3132261234478943,0.9999999995273454,6,4_6_7_8,x_mean,1
mother_2d_couple_xy_xi2_xj,0.9982750570322508,0.1886442611186358,1052.9465135784585,8.130539998296715e-05,38.89948751702059,0.0088917705637205,0.9981937516322678,1091.846001095479,0.1975360316823564,0.999999993850334,7,4_6_7_8,x_mean,1
mother_3d_couple_prod_xyz,0.9984029355705426,0.1746591306998068,986.5467371232356,0.0001278785382918,66.39977645522276,0.013985130418829,0.9982750570322508,1052.9465135784585,0.1886442611186358,0.9999999960900324,8,4_6_7_8,x_mean,1
mother_y_adj_xj,0.9984299918181638,0.1717001889048792,973.3740301134582,2.7056247621226603e-05,13.172707009777582,0.0029589417949275,0.9984029355705426,986.5467371232356,0.1746591306998068,0.9999999815199426,9,4_6_7_8,x_mean,1
mother_x_adj_xi_xj_pow2,0.9984543306556044,0.1690384301735583,961.5001120907511,2.4338837440462943e-05,11.873918022707016,0.0026617587313209,0.9984299918181638,973.3740301134582,0.1717001889048792,0.9999999794566604,10,4_6_7_8,x_mean,1
mother_x_adj_xi2_xj,0.9984616583687836,0.1682370523516508,959.2802687763452,7.327713179350326e-06,2.2198433144060346,0.0008013778219075,0.9984543306556044,961.5001120907511,0.1690384301735583,0.9999999317656724,11,4_6_7_8,x_mean,1
mother_3d_couple_prod_sq_xy2z,0.9984640713104892,0.1679731667544566,959.8863167480548,2.4129417055540614e-06,-0.6060479717095859,0.0002638855971941,0.9984616583687836,959.2802687763452,0.1682370523516508,0.4999997927841391,12,4_6_7_8,x_mean,1
mother_2d_couple_xz_xi2_xj,0.9984663930671548,0.1677192533910382,960.5429732813328,2.321756665479846e-06,-0.6566565332782375,0.0002539133634184,0.9984640713104892,959.8863167480548,0.1679731667544566,0.499999784645914,13,4_6_7_8,x_mean,1
mother_y_y_y,0.9984680169462566,0.1675416617378205,961.6022050874216,1.623879101964043e-06,-1.0592318060887465,0.0001775916532177,0.9984663930671548,960.5429732813328,0.1677192533910382,0.4999996920954944,14,4_6_7_8,x_mean,1
mother_2d_couple_yz_xi_xj_pow3,0.9984717754918088,0.1671306173950212,961.4209215889113,3.7585455520128255e-06,0.1812834985105382,0.0004110443427993,0.9984680169462566,961.6022050874216,0.1675416617378205,0.999999866967095,15,4_6_7_8,x_mean,1
mother_z_z_z,0.9984740714998068,0.1668795199729871,962.0857851494718,2.2960079982814463e-06,-0.6648635605606614,0.000251097422034,0.9984717754918088,961.4209215889113,0.1671306173950212,0.4999997822308186,16,4_6_7_8,x_mean,1
mother_z_adj_xi2_xj,0.9984980704013576,0.1642549375170442,950.0088567300888,2.399890155058149e-05,12.07692841938308,0.0026245824559429,0.9984740714998068,962.0857851494718,0.1668795199729871,0.9999999791656726,17,4_6_7_8,x_mean,1
mother_y_adj_xi2_xj,0.998499605829472,0.164087019094487,951.100586743704,1.5354281144297488e-06,-1.0917300136152337,0.0001679184225572,0.9984980704013576,950.0088567300888,0.1642549375170442,0.4999996743581352,18,4_6_7_8,x_mean,1
mother_y_adj_xj_pow3,0.9984997279391457,0.1640736648621554,953.0283138670512,1.2210967359482794e-07,-1.9277271233471536,1.3354232331591607e-05,0.998499605829472,951.100586743704,0.164087019094487,0.4999959053538459,19,4_6_7_8,x_mean,1
mother_2d_couple_yz_xi_xj_pow2,0.9984997887351458,0.164067016053026,954.9923284324428,6.079600023412013e-08,-1.964014565391608,6.6488091293726015e-06,0.9984997279391457,953.0283138670512,0.1640736648621554,0.4999917759100272,20,4_6_7_8,x_mean,1
mother_z_z,-0.2866172315916651,1.7952086643895824,3041.6225162977744,5.734380133223024,1504.8372629942487,8.001143344963848,-6.020997364814689,4546.459779292023,9.79635200935343,0.9999999999999124,1,4_6_7_8,x_half,2
