train_size,display_label,all_target_R2_mean,mean_target_R2_mean,half_target_R2_mean,position_RMSE_mean,radius_balance_mean,half_direction_cos_mean,pairwise_distance_corr_mean
10,Mother copy,-0.133547009779526,-0.1932461468731704,-0.0738478726858814,3.330628048968256,1.1546319456101628e-15,0.9260496085756412,0.959639911069633
10,Prev-stage FixedTerm,-0.9280005967970172,-0.5342092724197548,-1.321791921174279,5.469172574750721,0.0433524675752946,0.946692205873699,0.9117439057315836
10,15-24 FixedTerm,-1.5932712837689529,-1.9862635940727396,-1.2002789734651669,6.667549794143077,0.0740294105388175,0.9593588164936911,0.89774326991582
10,Same-stage FixedTerm,-8.898807442154286,0.2213818589212967,-18.01899674322987,5.365900532595726,-2.113314010927982,0.9749846292861448,0.8788973165384955
10,Union FixedTerm,-20.28413867654949,-0.55619989434648,-40.012077458752486,8.068706322902198,-3.5109033574351,0.9570392778017528,0.8552737680105564
10,Full ridge,-21.0835593556473,-11.083466043707888,-31.083652667586712,14.378263537869808,-4.096773917935242,0.9466763519753524,0.7920403898903683
10,Full linear,-281.9833585273548,-67.56597316567225,-496.4007438890373,34.53025479613624,-12.428641697242329,0.8495875888266632,0.5490620345359517
20,RF quick,0.4578350844219326,0.627192049026725,0.2884781198171403,4.202453606690757,0.4612672522667474,0.9715096933753344,
20,Prev-stage FixedTerm,0.3607013006670732,0.705611715477117,0.0157908858570294,2.485452748777345,0.7973791929857751,0.9634645244371954,0.9664731530363267
20,Same-stage FixedTerm,0.339274544747543,0.731582356347986,-0.0530332668528997,2.2237097503127883,0.3462764519227074,0.9807094066616068,0.9424458830123588
20,15-24 FixedTerm,0.3226292985618541,0.6413946513827703,0.0038639457409379,2.1941644076048736,0.7023448256240769,0.9725652348029484,0.9648314634458534
20,Union FixedTerm,0.1082810429356312,0.649297089145676,-0.4327350032744133,2.5208198047586965,0.3970414621162785,0.9738331227763176,0.9347033398685142
20,Full ridge,-0.0816668533598635,0.3730231165586539,-0.5363568232783809,3.014490162065444,0.5148693934751749,0.9678559968940094,0.9333608665855572
20,Mother copy,-0.1272497261753644,-0.1870289090450066,-0.0674705433057222,3.327778194769296,6.143234069592534e-16,0.9264930566285482,0.9601253587446856
20,Full linear,-3724.4066751954183,-316.9610218884446,-7131.852328502393,54.01009576710721,-53.36325635831055,0.8387257185604007,0.5898901127261027
40,Same-stage FixedTerm,0.5904674028729264,0.7761775600385464,0.4047572457073062,1.7821186160727551,0.6482056412777984,0.984870496324052,0.9784238706128986
40,RF quick,0.5359214758462199,0.7252917399041844,0.3465512117882554,2.86069663397123,0.3808642981290955,0.9748117283189092,
40,Union FixedTerm,0.510653672528503,0.7395718983732519,0.2817354466837541,1.8312534676024408,0.7518203240612366,0.9814129284170692,0.9765809576798674
40,Prev-stage FixedTerm,0.4645332598278271,0.7478338638948594,0.1812326557607949,2.1947685283752665,0.755891061059773,0.9712252859056236,0.9719565477129072
40,15-24 FixedTerm,0.445234699855102,0.7124584131807302,0.1780109865294738,1.9455715195773544,0.6428487273046171,0.9779784975171444,0.9724753463731024
40,Full ridge,0.3409941771482672,0.6101513405188579,0.0718370137776767,2.056631962177673,0.7954274189095245,0.977164747861621,0.9657286335260268
40,Mother copy,-0.0906595002752081,-0.1450263507041832,-0.0362926498462329,3.307022437718573,8.067620645609472e-16,0.9284278038340046,0.9595129281691562
40,Full linear,-88.21087525378415,-28.208594798938933,-148.2131557086294,17.988354580387526,-11.894450707987271,0.816220991194461,0.3563474613833352
80,Same-stage FixedTerm,0.6124443737047043,0.7938975716024829,0.4309911758069254,1.6628529598372457,0.7106933555604229,0.9854497509803296,0.9812618028745084
80,RF quick,0.6093136778720792,0.7730791587169911,0.4455481970271674,2.0053101979821077,0.5300557471500894,0.9834958854209284,
80,Union FixedTerm,0.5954370456197157,0.7914582795497652,0.3994158116896659,1.6573198820344903,0.7346511747646118,0.984154419839205,0.98079910786038
80,Full ridge,0.536706345348527,0.7580335457489197,0.3153791449481343,1.7676231013250132,0.8152284397167495,0.9819178058292976,0.9772803550902188
80,Prev-stage FixedTerm,0.5100124050230099,0.7656819169400949,0.254342893105925,2.0881273791630828,0.7602038616331834,0.9742132137255488,0.9741479260239922
80,15-24 FixedTerm,0.4815746252221133,0.7260410506995729,0.2371081997446537,1.8546716157976044,0.7190370248271432,0.979817352499314,0.9736004054059054
80,Mother copy,-0.0620125601478153,-0.1072941556819421,-0.0167309646136885,3.2953986808480464,8.955799065309596e-16,0.930829695911807,0.9623966032196156
80,Full linear,-6.76291625534253,-2.96384552261794,-10.56198698806712,4.651191390458616,-1.0569451032233297,0.946540754068909,0.8246130428411098
