dest_label,train_size,display_model,display_label,all_target_R2_mean,all_target_R2_std,all_target_R2_count,mean_target_R2_mean,mean_target_R2_std,mean_target_R2_count,half_target_R2_mean,half_target_R2_std,half_target_R2_count,position_RMSE_mean,position_RMSE_std,position_RMSE_count,mean_vector_RMSE_mean,mean_vector_RMSE_std,mean_vector_RMSE_count,half_vector_RMSE_mean,half_vector_RMSE_std,half_vector_RMSE_count,half_radius_R2_mean,half_radius_R2_std,half_radius_R2_count,radius_balance_mean,radius_balance_std,radius_balance_count,half_direction_cos_mean,half_direction_cos_std,half_direction_cos_count,pairwise_distance_corr_mean,pairwise_distance_corr_std,pairwise_distance_corr_count,half_radius_wasserstein_mean,half_radius_wasserstein_std,half_radius_wasserstein_count,all_target_R2_se,all_target_R2_ci95,mean_target_R2_se,mean_target_R2_ci95,half_target_R2_se,half_target_R2_ci95,position_RMSE_se,position_RMSE_ci95,mean_vector_RMSE_se,mean_vector_RMSE_ci95,half_vector_RMSE_se,half_vector_RMSE_ci95,half_radius_R2_se,half_radius_R2_ci95,radius_balance_se,radius_balance_ci95,half_direction_cos_se,half_direction_cos_ci95,pairwise_distance_corr_se,pairwise_distance_corr_ci95,half_radius_wasserstein_se,half_radius_wasserstein_ci95
12-14,5,FixedTerm_cross15to24_RIDGE,15-24 FixedTerm,-0.17553566182652572,0.1482622532231272,3,0.7908561181668056,0.10488997752187243,3,-1.141927441819857,0.19166566476742927,3,2.7567462410897448,0.5762700019968288,3,2.339009749749899,0.6669961365603994,3,1.4324357663414693,0.04919120327397082,3,-1.5872712462823528,0.7415676309095385,3,0.7684054262572536,0.1027091974393674,3,0.9743336941952707,0.009492181644368401,3,0.9453831763656567,0.015589105079044416,3,0.4336010579242997,0.07387952568474668,3,0.08559925180903295,0.1677745335457046,0.06055825675754685,0.11869418324479182,0.11065822314788387,0.2168901173698524,0.3327096407787753,0.6521108959263996,0.385090398991587,0.7547771820235105,0.028400554451988656,0.05566508672589777,0.4281442713279351,0.8391627718027528,0.0592991827898692,0.11622639826814363,0.005480313627572921,0.010741414710042925,0.009000374013811657,0.017640733067070848,0.04265436404169037,0.08360255352171311
12-14,5,FixedTerm_crossPrev_RIDGE,Prev-stage FixedTerm,-0.4447099996641573,0.303227491034639,3,0.7513555583479694,0.0512617209749711,3,-1.6407755576762841,0.6373205103041902,3,2.6787269279441777,0.13271854492722374,3,2.1379461082250715,0.20870238447384604,3,1.6039530947198786,0.14901617703491318,3,-1.541520264843151,1.0915835909652152,3,0.6740190744919597,0.1467176616455961,3,0.9569271241325478,0.032024468634153494,3,0.9575705738055792,0.004047246460505787,3,0.40382070512580687,0.1616328199064367,3,0.17506847357454366,0.3431342082061056,0.02959596840402305,0.05800809807188518,0.36795716818419394,0.7211960496410201,0.07662508764018806,0.1501851717747686,0.1204943778564918,0.2361689805987239,0.08603452992471607,0.1686276786524435,0.6302260800867454,1.2352431169700209,0.08470748144595734,0.1660266636340764,0.018489335586583246,0.036239097749703165,0.0023366788334497762,0.004579890513561561,0.09331875208285953,0.18290475408240467
12-14,5,FixedTerm_sameStage_RIDGE,Same-stage FixedTerm,0.0219030691241327,0.04822250353980518,3,0.7801576989708606,0.07413239692964992,3,-0.7363515607225951,0.07832095491824347,3,2.8102933199363527,0.42571377343581157,3,2.5038093227565805,0.4888271093518746,3,1.260705738705904,0.0352556900489767,3,-0.624108697034826,0.3335967944668489,3,0.6388680773197168,0.04798465129510477,3,0.9759386645379147,0.002101147361109495,3,0.9355691029998262,0.023739552634087044,3,0.29197523623258564,0.20338920480445966,3,0.027841275399704202,0.054568899783420236,0.04280035932300557,0.08388870427309092,0.04521862440523641,0.08862850383426336,0.24578596169089717,0.48174048491415844,0.28222446317149147,0.5531599478161233,0.020354882140242708,0.03989556899487571,0.1926021990862315,0.3775003102090137,0.027703951342199065,0.05429974463071017,0.0012130979945436389,0.002377672069305532,0.013706037103731444,0.026863832723313632,0.11742681214411871,0.23015655180247266
12-14,5,FixedTerm_unionAllStages_RIDGE,Union FixedTerm,-0.2114638305463087,0.13456330643953654,3,0.7330888358969151,0.1241925219539322,3,-1.1560164969895326,0.14554567935883492,3,2.739927743585738,0.42244270370049813,3,2.343548948920698,0.49437719164331284,3,1.40388389831357,0.013695857102983973,3,-1.2180918479391567,0.3681540823856206,3,0.7975890233916866,0.07058434622822271,3,0.9708532725477975,0.008168582900635253,3,0.9556231200946258,0.009079670147393746,3,0.4597920906844524,0.07272278277997184,3,0.07769016119591253,0.15227271594398856,0.07170258598144126,0.14053706852362488,0.0840308371572103,0.16470044082813218,0.24389740869867593,0.4780389210494048,0.2854288046764779,0.5594404571658967,0.007907306785190445,0.015498321298973272,0.2125538585685977,0.4166055627944515,0.04075189129543813,0.07987370693905874,0.004716133536579538,0.009243621731695894,0.005242150003750789,0.010274614007351546,0.04198651821423542,0.08229357569990142
12-14,5,LinearRegression_full64,Full linear,-25.171209219017452,15.595431261946949,3,-12.119833631831739,9.497669333104913,3,-38.22258480620317,21.764969781531416,3,15.078003659846312,5.707780310368108,3,13.620110448150255,5.23441072035885,3,6.422310729148317,2.4634866448203616,3,-84.39220220389431,64.07196621981687,3,-5.708190303665472,3.289902462621205,3,0.8904321942874377,0.01939441132066164,3,0.39290427276354417,0.302176569678863,3,3.8169660225318007,1.6277853352779776,3,9.004026437213376,17.647891816938216,5.483481946142175,10.747624614438662,12.566011162271234,24.629381878051618,3.2953884986662727,6.458961457385894,3.0220884384482454,5.923293339358561,1.422294677532084,2.7876975679628844,36.99196694451988,72.50425521125896,1.8994260724019656,3.7228751019078525,0.011197368596758324,0.021946842449646314,0.1744617238468893,0.341944978739903,0.9398023015056657,1.8420125109511047
12-14,5,MotherCopyBaseline,Mother copy,-0.024851441331495933,0.09519540846679914,3,0.20120082170795459,0.0027224165301933754,3,-0.2509037043709464,0.19133836382394237,3,3.4061915699448266,0.015884775383869842,3,3.22948243165312,0.0047082269471492265,3,1.0818775775838974,0.0584625656329502,3,-0.19179068682623232,0.18220858957778038,3,8.511709855459534e-16,3.204937810639273e-16,3,0.9826242422839941,0.004384776444564709,3,0.9719321780626403,0.0046072590029703105,3,0.5681757975229011,0.02173044677163855,3,0.054961094703922866,0.10772374561968881,0.0015717879165534324,0.0030807043164447273,0.11046925586005568,0.21651974148570913,0.009171079343893995,0.017975315514032232,0.002718296095342456,0.005327860346871213,0.03375337800569996,0.06615662089117193,0.10519817824139355,0.20618842935313134,1.8503717077085943e-16,3.6267285471088446e-16,0.002531551860605765,0.004961841646787299,0.0026600022255912356,0.005213604362158822,0.01254607929321635,0.024590315414704047
12-14,5,RandomForest_full64_quick,RF quick,0.0876561725643351,0.19103696834488412,3,0.5622639360093444,0.27825611298292346,3,-0.38695159088067427,0.109129263957536,3,4.320184071407495,1.505464546532966,3,,,0,,,0,-0.28961548064888337,0.4037517981306911,3,0.3319849994227501,0.1492507287914234,3,0.980711309646041,0.005359990633449684,3,,,0,0.4222667154435656,0.14729933953684576,3,0.11029524509908888,0.2161786803942142,0.1606512417343498,0.3148764337993256,0.06300580992234914,0.1234913874478043,0.8691803611962458,1.7035935079446416,,,,,0.23310620933654996,0.4568881702996379,0.08616994844447613,0.16889309895117322,0.0030945920350760477,0.006065400388749053,,,0.085043313333052,0.16668489413278192
12-14,5,Ridge_full64,Full ridge,-0.2989724650534971,0.09362701400794879,3,0.7588671151311394,0.06996380314718616,3,-1.3568120452381336,0.19973231127753815,3,2.806441389275822,0.3203302452999215,3,2.4192874998232026,0.3571925985058812,3,1.4158594999553415,0.05272215061286552,3,-1.0610086722126892,0.40875805323495507,3,0.8405182944297529,0.09092961701829287,3,0.966964828976709,0.00678840312390757,3,0.9523985728107461,0.0008756609199236554,3,0.40069808469816875,0.08330156042300121,3,0.054055581740910096,0.10594894021218379,0.04039362058055792,0.07917149633789353,0.11531550368195279,0.22601838721662745,0.18494275335348853,0.36248779657283753,0.20622524289991245,0.4042014760838284,0.0304391478485939,0.05966072978324404,0.2359965720686287,0.4625532812545122,0.05249823886282097,0.1028965481711291,0.003919286370955732,0.007681801287073235,0.0005055630678367578,0.0009909036129600454,0.04809417833413563,0.09426458953490584
12-14,10,FixedTerm_cross15to24_RIDGE,15-24 FixedTerm,0.21754259888466854,0.08959225879488797,3,0.832379424507319,0.0677122254851527,3,-0.397294226737982,0.18708707142780467,3,2.2812734897779077,0.25482519587809255,3,1.9469892342918207,0.30198414944613655,3,1.1788389514091655,0.09701561199747391,3,-0.6010936395167934,0.21738377868250164,3,0.8276067980137106,0.17714741243573962,3,0.9812062233332238,0.006544616729570908,3,0.954486535877308,0.008346826004988143,3,0.19692450070725964,0.08131242715695891,3,0.05172611473253519,0.10138318487576897,0.03909367161128155,0.07662359635811183,0.10801477105074178,0.21170895125945388,0.14712339543651584,0.28836185505557105,0.17435062997372713,0.3417272347485052,0.05601198970233785,0.10978349981658218,0.12550658313980037,0.24599290295400872,0.10227610625601993,0.20046116826179908,0.003778536230560692,0.007405931011898956,0.004819042240858874,0.009445322792083393,0.04694575170753207,0.09201367334676286
12-14,10,FixedTerm_crossPrev_RIDGE,Prev-stage FixedTerm,0.22225384173010596,0.08700659942192328,3,0.8377730153042129,0.03434538254732038,3,-0.39326533184400086,0.1397163091514425,3,2.2127688269346213,0.021084303395292273,3,1.875899963302654,0.021723676777461585,3,1.172113362433234,0.07222078528513903,3,-0.6484802633331247,0.14911914934199644,3,0.8493911541068773,0.08987199427951768,3,0.9835805097833167,0.0024622708019167113,3,0.9635732144950451,0.006794976665610151,3,0.23402867685581855,0.002443145175050044,3,0.05023328359752134,0.09845723585114183,0.019829315859116094,0.03886545908386754,0.0806652486987663,0.15810388744958195,0.012173028240947735,0.02385913535225756,0.012542170635255869,0.024582654445101503,0.04169668982546119,0.08172551205790393,0.08609398101392965,0.16874420278730212,0.051887620089888044,0.10169973537618056,0.001421592710304369,0.0027863217121965635,0.003923081607027246,0.007689239949773403,0.0014105505244844784,0.0027646790279895776
