train_size,display_model,display_label,all_target_R2_mean,all_target_R2_std,all_target_R2_count,mean_target_R2_mean,mean_target_R2_std,mean_target_R2_count,half_target_R2_mean,half_target_R2_std,half_target_R2_count,position_RMSE_mean,position_RMSE_std,position_RMSE_count,mean_vector_RMSE_mean,mean_vector_RMSE_std,mean_vector_RMSE_count,half_vector_RMSE_mean,half_vector_RMSE_std,half_vector_RMSE_count,half_radius_R2_mean,half_radius_R2_std,half_radius_R2_count,radius_balance_mean,radius_balance_std,radius_balance_count,half_direction_cos_mean,half_direction_cos_std,half_direction_cos_count,pairwise_distance_corr_mean,pairwise_distance_corr_std,pairwise_distance_corr_count,half_radius_wasserstein_mean,half_radius_wasserstein_std,half_radius_wasserstein_count,all_target_R2_se,all_target_R2_ci95,mean_target_R2_se,mean_target_R2_ci95,half_target_R2_se,half_target_R2_ci95,position_RMSE_se,position_RMSE_ci95,mean_vector_RMSE_se,mean_vector_RMSE_ci95,half_vector_RMSE_se,half_vector_RMSE_ci95,half_radius_R2_se,half_radius_R2_ci95,radius_balance_se,radius_balance_ci95,half_direction_cos_se,half_direction_cos_ci95,pairwise_distance_corr_se,pairwise_distance_corr_ci95,half_radius_wasserstein_se,half_radius_wasserstein_ci95
5,FixedTerm_cross15to24_RIDGE,15-24 FixedTerm,-32.025000543541594,80.19242344870551,12,-17.856556466667747,50.02011866369901,12,-46.19344462041544,111.35457515643932,12,13.773719888433279,24.0241567542685,12,11.853644175439642,21.269478775726665,12,6.170430068435555,11.701011802248598,12,-250.21965724186066,838.6326652387,12,-3.8921790734288417,13.109714536201116,12,0.9093099525532379,0.10991404976728086,12,0.8577412187932595,0.15705975855265208,12,2.7589546109476033,6.210623725537495,12,23.149558632539293,45.373134919777016,14.439564487691824,28.301546395875974,32.14529697103333,63.00478206322533,6.935176684565342,13.592946301748071,6.139969648344411,12.034340510755046,3.377791156909608,6.620470667542832,242.0923975133884,474.50109912624123,3.7844486082374322,7.417519272145367,0.031729453110430766,0.062189728096444304,0.045339246939615656,0.08886492400164668,1.7928526398872746,3.513991174179058
5,FixedTerm_crossPrev_RIDGE,Prev-stage FixedTerm,-5.831032977848967,10.033152789837983,15,-5.537485943833219,13.932175309474728,15,-6.124580011864714,9.707428625060894,15,10.696782389740997,14.9459906190065,15,10.02536016169585,14.775457283742334,15,3.258185521756418,2.9328433347895984,15,-14.012919453619935,32.27103657442421,15,-0.3985105764561238,2.629652413348797,15,0.9136480275105131,0.06271983796980966,15,0.8243434558191493,0.15081546245170432,15,0.9404475836044901,1.346151637955016,15,2.5905489109997992,5.077475865559606,3.5972721966691856,7.050653505471604,2.5064472932905337,4.912636694849446,3.8590381839989636,7.563714840637968,3.8150066661688755,7.477413065690996,0.7572568928450358,1.4842235099762702,8.33234581450636,16.331397796432466,0.6789733335476023,1.3307877337533003,0.016194192528926694,0.03174061735669632,0.03894038496173472,0.07632315452500005,0.3475748583513075,0.6812467223685628
5,FixedTerm_sameStage_RIDGE,Same-stage FixedTerm,-12202.774659961135,47252.87626288964,15,0.0908389613839282,1.4919462195668796,15,-24405.64015888365,94505.90563710185,15,87.01763645160855,317.5109615220725,15,4.207813376972415,2.667440653530164,15,84.93652144715311,318.07317178469043,15,-168088.1446526286,650949.8586601699,15,-105.25858779774354,405.6086869479158,15,0.9305440272669931,0.05612702710868086,15,0.792151892258642,0.2500475573591432,15,11.744628290430972,43.102323701582385,15,12200.640188438088,23913.25476933865,0.38521885745464257,0.7550289606110995,24401.319910049675,47826.587023697364,81.98097774755271,160.68271638520332,0.6887302152079302,1.349911221807543,82.12613981316512,160.96723403380363,168074.53078712733,329426.08034276956,104.7277126417557,205.26631677784118,0.014491936084270213,0.028404194725169616,0.06456200169412035,0.12654152332047588,11.12897212527132,21.812785365531788
5,FixedTerm_unionAllStages_RIDGE,Union FixedTerm,-7015.113774915721,27158.325675069165,15,-1.313225778503308,5.257070053229893,15,-14028.91432405294,54311.47923779692,15,68.2526808108887,240.38368617262054,15,7.8502220861188325,9.969505334426856,15,64.92616738794443,241.0260635238581,15,-96612.25157914557,374155.61312527343,15,-79.29648193541156,307.18444129428127,15,0.908507877102219,0.07184721418648685,15,0.7744949151867451,0.23544075042971513,15,9.474875934021078,34.278319403111546,15,7012.249536694679,13744.00909192157,1.3573696510670077,2.660444516091335,14023.163639725157,27485.40073386131,62.06680088310063,121.65092973087724,2.5741152086774144,5.0452658090077325,62.23266200198889,121.97601752389822,96606.56390161395,189348.86524716334,79.31468168978542,155.45677611197942,0.01855087093437739,0.03635970703137968,0.06079054036219089,0.11914945910989415,8.85062401228197,17.34722306407266
5,LinearRegression_full64,Full linear,-3090.228851285284,6385.345449164037,15,-1381.9361503795635,3987.6799091308285,15,-4798.521552191004,10722.34725973514,15,193.0570292736575,430.19516340822304,15,184.00131191013026,414.91462275678083,15,47.64544763610942,118.91141916122014,15,-20318.817020823342,61474.73352816603,15,-46.774317360347254,115.62998152075902,15,0.8104386726876602,0.13814023072888917,15,0.4414113301125429,0.2512180676886419,15,24.981254545011563,60.74125301994341,15,1648.689105626242,3231.4306470274346,1029.6145252046404,2018.044469401095,2768.498157947128,5426.2563895763715,111.07591356660174,217.70879059053942,107.130494935663,209.97577007389947,30.70279640568634,60.17748095514522,15872.707944475049,31110.507571171096,29.855532850144733,58.51684438628368,0.03566765420361585,0.06990860223908707,0.06486422616163451,0.12713388327680364,15.683324091600785,30.739315219537538
5,MotherCopyBaseline,Mother copy,-0.22202744437990177,0.9070554887226837,15,-0.20351073996365573,1.8905112967988895,15,-0.24054414879614786,0.17699800094285661,15,3.427570307371523,0.6603325465628184,15,2.653576566604477,0.46430252999326893,15,2.0580792856683146,0.8515808963908783,15,-0.24888995402689965,0.4392093908985879,15,7.179442225909346e-16,5.612106663367289e-16,15,0.9133284975030959,0.06380302035172251,15,0.9570213597010913,0.012842535667702855,15,0.6473319817397079,0.16560629219127718,15,0.23420072012726556,0.4590334114494405,0.4881279178879391,0.9567307190603606,0.04570068733091255,0.0895733471685886,0.17049713038643527,0.33417437555741314,0.11988239775106001,0.2349694995920776,0.21987724197801703,0.4309593942769134,0.11340337709654229,0.22227061910922288,1.4490397096240789e-16,2.8401178308631947e-16,0.016473869017330278,0.03228878327396734,0.0033159284509391936,0.006499219763840819,0.04275936077893173,0.08380834712670618
5,RandomForest_full64_quick,RF quick,-0.019182848042765984,0.3071923742203347,15,0.09327150332861958,0.5477097547692042,15,-0.13163719941415158,0.24457304509311445,15,8.153579189230731,4.985440497906287,15,,,0,,,0,-0.2644391464819302,0.48344774447444677,15,0.36344054172171003,0.2255560230931376,15,0.9314229289858564,0.04985299094950136,15,,,0,0.5025330993909993,0.1788424313914627,15,0.07931672996248486,0.15546079072647032,0.14141805058509843,0.2771793791467929,0.06314848870512452,0.12377103786204405,1.2872352014599375,2.5229809948614776,,,,,0.1248256708740714,0.24465831491317994,0.05823831473843316,0.11414709688732899,0.012871986913736522,0.025229094350923582,,,0.0461769172249585,0.09050675776091865
5,Ridge_full64,Full ridge,-3728.7754655509534,13920.250211257553,15,-409.80025334007297,1530.2543877067112,15,-7047.750677761835,26310.519990354387,15,91.2986020839318,252.71607660800814,15,69.36475415669214,184.8580856452572,15,57.70721685398292,172.91787705263297,15,-51537.47868610339,191109.9754178152,15,-66.87054044041427,211.3248386204221,15,0.8949345578926395,0.07162612412062903,15,0.6031080821911924,0.3172479441605704,15,18.51134169358372,54.811224537181985,15,3594.193149549385,7044.618573116794,395.1099839365947,774.4155685157256,6793.347050179991,13314.960218352782,65.25101040144621,127.89198038683456,47.73015247439103,93.55109884980642,44.64720387242594,87.50851958995484,49344.38347248714,96714.9916060748,54.56383870779098,106.94512386727031,0.018493785724838775,0.036247820020683996,0.08191306695682864,0.16054961123538414,14.152197321182744,27.738306749518177
10,FixedTerm_cross15to24_RIDGE,15-24 FixedTerm,-1.5932712837689527,5.483802840545879,12,-1.9862635940727393,8.089971822084285,12,-1.2002789734651669,2.9036073275620544,12,6.667549794143077,13.317867134044047,12,6.06372333920762,13.197153801942653,12,2.3456052017754234,2.3632656706556916,12,-8.20105195233407,24.398517039105993,12,0.07402941053881751,2.0038671601114038,12,0.9593588164936913,0.027135835689385476,12,0.89774326991582,0.1358542521437374,12,0.6742883659892017,1.1639182115001971,12,1.583037523085999,3.102753545248558,2.3353737046084246,4.577332461032512,0.838199236094461,1.6428705027451436,3.844537087436,7.53529269137456,3.809690150044242,7.466992694086715,0.6822160355598326,1.3371434296972717,7.043245190177759,13.804760572748407,0.578466622155285,1.1337945794243585,0.00783344101997608,0.015353544399153117,0.03921774452287104,0.07686677926482723,0.33599424636217334,0.6585487228698598
10,FixedTerm_crossPrev_RIDGE,Prev-stage FixedTerm,-0.9280005967970172,3.772669466560867,15,-0.5342092724197548,3.9302640651580503,15,-1.321791921174279,3.636514539031043,15,5.469172574750721,8.587528892636263,15,4.789276020278589,8.281168366543206,15,2.4630270552664535,2.4780949656195395,15,-7.278450944551091,22.651182627612474,15,0.04335246757529467,1.8145588332592721,15,0.946692205873699,0.05157428510458423,15,0.9117439057315836,0.11279882477078633,15,0.6722771301714597,1.0710900346965442,15,0.9740990676490304,1.9092341725920996,1.0147898180369728,1.9889880433524665,0.9389440165272247,1.8403302723933603,2.2172904257503507,4.345889234470687,2.1381884780507674,4.190849416979504,0.6398413688109945,1.2540890828695492,5.848510205909725,11.46308000358306,0.4685170761284481,0.9182934692117583,0.013316423153507197,0.026100189380874106,0.029124531320601606,0.05708408138837915,0.276554257777896,0.5420463452446761
